,Endo_id,Transported hormone,Target receptor
625,ENT00766,ENH00832,ENR01159
626,ENT00767,ENH00825,ENR01168
627,ENT00768,ENH00823,ENR01168
628,ENT00769,ENH00826,ENR01168
629,ENT00770,ENH00823,ENR01143
630,ENT00771,ENH00832,ENR01143
631,ENT00772,ENH00825,ENR01019
632,ENT00773,ENH00825,ENR01165
633,ENT00774,ENH00795,ENR01165
634,ENT00775,ENH00836,ENR01151
635,ENT00776,ENH00454,ENR01105
636,ENT00777,ENH00838,ENR01152
637,ENT00778,ENH00767,ENR01105
638,ENT00779,ENH00841,ENR00657
639,ENT00780,ENH00841,ENR01173
640,ENT00781,ENH00841,ENR01174
641,ENT00782,ENH00841,ENR01172
642,ENT00783,ENH00841,ENR01171
643,ENT00784,ENH00841,ENR01170
644,ENT00785,ENH00366,ENR01025
645,ENT00786,ENH00367,ENR01025
646,ENT00787,ENH00369,ENR01025
647,ENT00788,ENH00297,ENR00700
648,ENT00789,ENH00417,ENR01177
649,ENT00792,ENH00862,ENR00720
650,ENT00793,ENH00867,ENR00720
651,ENT00794,ENH00318,ENR01000
652,ENT00795,ENH00082,ENR00808
653,ENT00796,ENH00620,ENR00786
654,ENT00797,ENH00619,ENR00785
655,ENT00798,ENH00620,ENR00785
656,ENT00801,ENH00324,ENR00852
657,ENT00803,ENH00270,ENR01178
658,ENT00804,ENH00258,ENR01178
659,ENT00805,ENH00843,ENR00657
660,ENT00806,ENH00843,ENR01170
661,ENT00807,ENH00454,ENR01180
662,ENT00808,ENH00451,ENR01180
663,ENT00809,ENH00453,ENR01180
664,ENT00810,ENH00462,ENR01180
665,ENT00811,ENH00871,ENR01180
666,ENT00816,ENH00872,ENR01182
667,ENT00817,ENH00867,ENR00708
668,ENT00818,ENH00867,ENR01000
669,ENT00819,ENH00316,ENR01000
670,ENT00820,ENH00318,ENR00708
671,ENT00821,ENH00861,ENR00708
672,ENT00822,ENH00861,ENR01000
673,ENT00823,ENH00899,ENR01186
674,ENT00824,ENH00899,ENR01185
675,ENT00825,ENH00899,ENR01184
676,ENT00826,ENH00904,ENR01187
677,ENT00827,ENH00902,ENR01187
678,ENT00828,ENH00905,ENR01187
679,ENT00829,ENH00909,ENR00781
680,ENT00830,ENH00910,ENR00781
681,ENT00831,ENH00920,ENR00737
682,ENT00832,ENH00919,ENR00737
683,ENT00833,ENH00920,ENR00738
684,ENT00834,ENH00919,ENR00738
685,ENT00835,ENH00920,ENR00739
686,ENT00836,ENH00919,ENR00739
687,ENT00837,ENH00920,ENR00920
688,ENT00838,ENH00919,ENR00920
689,ENT00839,ENH00920,ENR00921
690,ENT00840,ENH00919,ENR00921
691,ENT00841,ENH00926,ENR01189
692,ENT00842,ENH00925,ENR01190
693,ENT00843,ENH00200,ENR01190
